city,province,name
11.01,11,KAB. ACEH SELATAN
11.02,11,KAB. ACEH TENGGARA
11.03,11,KAB. ACEH TIMUR
11.04,11,KAB. ACEH TENGAH
11.05,11,KAB. ACEH BARAT
11.06,11,KAB. ACEH BESAR
11.07,11,KAB. PIDIE
11.08,11,KAB. ACEH UTARA
11.09,11,KAB. SIMEULUE
11.10,11,KAB. ACEH SINGKIL
11.11,11,KAB. BIREUEN
11.12,11,KAB. ACEH BARAT DAYA
11.13,11,KAB. GAYO LUES
11.14,11,KAB. ACEH JAYA
11.15,11,KAB. NAGAN RAYA
11.16,11,KAB. ACEH TAMIANG
11.17,11,KAB. BENER MERIAH
11.18,11,KAB. PIDIE JAYA
11.71,11,KOTA BANDA ACEH
11.72,11,KOTA SABANG
11.73,11,KOTA LHOKSEUMAWE
11.74,11,KOTA LANGSA
11.75,11,KOTA SUBULUSSALAM
12.01,12,KAB. TAPANULI TENGAH
12.02,12,KAB. TAPANULI UTARA
12.03,12,KAB. TAPANULI SELATAN
12.04,12,KAB. NIAS
12.05,12,KAB. LANGKAT
12.06,12,KAB. KARO
12.07,12,KAB. DELI SERDANG
12.08,12,KAB. SIMALUNGUN
12.09,12,KAB. ASAHAN
12.10,12,KAB. LABUHANBATU
12.11,12,KAB. DAIRI
12.12,12,KAB. TOBA SAMOSIR
12.13,12,KAB. MANDAILING NATAL
12.14,12,KAB. NIAS SELATAN
12.15,12,KAB. PAKPAK BHARAT
12.16,12,KAB. HUMBANG HASUNDUTAN
12.17,12,KAB. SAMOSIR
12.18,12,KAB. SERDANG BEDAGAI
12.19,12,KAB. BATU BARA
12.20,12,KAB. PADANG LAWAS UTARA
12.21,12,KAB. PADANG LAWAS
12.22,12,KAB. LABUHANBATU SELATAN
12.23,12,KAB. LABUHANBATU UTARA
12.24,12,KAB. NIAS UTARA
12.25,12,KAB. NIAS BARAT
12.71,12,KOTA MEDAN
12.72,12,KOTA PEMATANGSIANTAR
12.73,12,KOTA SIBOLGA
12.74,12,KOTA TANJUNG BALAI
12.75,12,KOTA BINJAI
12.76,12,KOTA TEBING TINGGI
12.77,12,KOTA PADANG SIDEMPUAN
12.78,12,KOTA GUNUNGSITOLI
13.01,13,KAB. PESISIR SELATAN
13.02,13,KAB. SOLOK
13.03,13,KAB. SIJUNJUNG
13.04,13,KAB. TANAH DATAR
13.05,13,KAB. PADANG PARIAMAN
13.06,13,KAB. AGAM
13.07,13,KAB. LIMA PULUH KOTA
13.08,13,KAB. PASAMAN
13.09,13,KAB. KEPULAUAN MENTAWAI
13.10,13,KAB. DHARMASRAYA
13.11,13,KAB. SOLOK SELATAN
13.12,13,KAB. PASAMAN BARAT
13.71,13,KOTA PADANG
13.72,13,KOTA SOLOK
13.73,13,KOTA SAWAHLUNTO
13.74,13,KOTA PADANG PANJANG
13.75,13,KOTA BUKITTINGGI
13.76,13,KOTA PAYAKUMBUH
13.77,13,KOTA PARIAMAN
14.01,14,KAB. KAMPAR
14.02,14,KAB. INDRAGIRI HULU
14.03,14,KAB. BENGKALIS
14.04,14,KAB. INDRAGIRI HILIR
14.05,14,KAB. PELALAWAN
14.06,14,KAB. ROKAN HULU
14.07,14,KAB. ROKAN HILIR
14.08,14,KAB. SIAK
14.09,14,KAB. KUANTAN SINGINGI
14.10,14,KAB. KEPULAUAN MERANTI
14.71,14,KOTA PEKANBARU
14.72,14,KOTA DUMAI
15.01,15,KAB. KERINCI
15.02,15,KAB. MERANGIN
15.03,15,KAB. SAROLANGUN
15.04,15,KAB. BATANGHARI
15.05,15,KAB. MUARO JAMBI
15.06,15,KAB. TANJUNG JABUNG BARAT
15.07,15,KAB. TANJUNG JABUNG TIMUR
15.08,15,KAB. BUNGO
15.09,15,KAB. TEBO
15.71,15,KOTA JAMBI
15.72,15,KOTA SUNGAI PENUH
16.01,16,KAB. OGAN KOMERING ULU
16.02,16,KAB. OGAN KOMERING ILIR
16.03,16,KAB. MUARA ENIM
16.04,16,KAB. LAHAT
16.05,16,KAB. MUSI RAWAS
16.06,16,KAB. MUSI BANYUASIN
16.07,16,KAB. BANYUASIN
16.08,16,KAB. OGAN KOMERING ULUTIMUR
16.09,16,KAB. OGAN KOMERING ULUSELATAN
16.10,16,KAB. OGAN ILIR
16.11,16,KAB. EMPAT LAWANG
16.12,16,KAB. PENUKAL ABAB LEMATANGILIR
16.13,16,KAB. MUSI RAWAS UTARA
16.71,16,KOTA PALEMBANG
16.72,16,KOTA PAGAR ALAM
16.73,16,KOTA LUBUK LINGGAU
16.74,16,KOTA PRABUMULIH
17.01,17,KAB. BENGKULU SELATAN
17.02,17,KAB. REJANG LEBONG
17.03,17,KAB. BENGKULU UTARA
17.04,17,KAB. KAUR
17.05,17,KAB. SELUMA
17.06,17,KAB. MUKO MUKO
17.07,17,KAB. LEBONG
17.08,17,KAB. KEPAHIANG
17.09,17,KAB. BENGKULU TENGAH
17.71,17,KOTA BENGKULU
18.01,18,KAB. LAMPUNG SELATAN
18.02,18,KAB. LAMPUNG TENGAH
18.03,18,KAB. LAMPUNG UTARA
18.04,18,KAB. LAMPUNG BARAT
18.05,18,KAB. TULANG BAWANG
18.06,18,KAB. TANGGAMUS
18.07,18,KAB. LAMPUNG TIMUR
18.08,18,KAB. WAY KANAN
18.09,18,KAB. PESAWARAN
18.10,18,KAB. PRINGSEWU
18.11,18,KAB. MESUJI
18.12,18,KAB. TULANG BAWANG BARAT
18.13,18,KAB. PESISIR BARAT
18.71,18,KOTA BANDAR LAMPUNG
18.72,18,KOTA METRO
19.01,19,KAB. BANGKA
19.02,19,KAB. BELITUNG
19.03,19,KAB. BANGKA SELATAN
19.04,19,KAB. BANGKA TENGAH
19.05,19,KAB. BANGKA BARAT
19.06,19,KAB. BELITUNG TIMUR
19.71,19,KOTA PANGKAL PINANG
21.01,21,KAB. BINTAN
21.02,21,KAB. KARIMUN
21.03,21,KAB. NATUNA
21.04,21,KAB. LINGGA
21.05,21,KAB. KEPULAUAN ANAMBAS
21.71,21,KOTA BATAM
21.72,21,KOTA TANJUNG PINANG
31.01,31,KAB. ADM. KEP. SERIBU
31.71,31,KOTA ADM. JAKARTA PUSAT
31.72,31,KOTA ADM. JAKARTA UTARA
31.73,31,KOTA ADM. JAKARTA BARAT
31.74,31,KOTA ADM. JAKARTA SELATAN
31.75,31,KOTA ADM. JAKARTA TIMUR
32.01,32,KAB. BOGOR
32.02,32,KAB. SUKABUMI
32.03,32,KAB. CIANJUR
32.04,32,KAB. BANDUNG
32.05,32,KAB. GARUT
32.06,32,KAB. TASIKMALAYA
32.07,32,KAB. CIAMIS
32.08,32,KAB. KUNINGAN
32.09,32,KAB. CIREBON
32.10,32,KAB. MAJALENGKA
32.11,32,KAB. SUMEDANG
32.12,32,KAB. INDRAMAYU
32.13,32,KAB. SUBANG
32.14,32,KAB. PURWAKARTA
32.15,32,KAB. KARAWANG
32.16,32,KAB. BEKASI
32.17,32,KAB. BANDUNG BARAT
32.18,32,KAB. PANGANDARAN
32.71,32,KOTA BOGOR
32.72,32,KOTA SUKABUMI
32.73,32,KOTA BANDUNG
32.74,32,KOTA CIREBON
32.75,32,KOTA BEKASI
32.76,32,KOTA DEPOK
